Wed Dec 13 20:59:34 2023    ./profiler_results/output.dat

         73923 function calls (73902 primitive calls) in 3.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\coroutines.py:50(_format_coroutine)
        2    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\animations.py:11(__init__)
      148    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:867(close)
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:313(bind)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:389(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\_weakrefset.py:63(__iter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1593(_validate_resource_path)
        2    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\animations.py:23(get_frames_map)
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:390(framebuffer_attachments)
        4    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:167(get_size_ratio)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:3218(_always_object)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 {function _OverlappedFuture.cancel at 0x0000023A4F18F1A0}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_futures.py:45(_future_repr_info)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 {method 'WSARecv' of '_overlapped.Overlapped' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\ctypes\__init__.py:72(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:67(_cancel_overlapped)
